experiment-type,i,elapsed_time
async-diff-vm,0,0.018356037
async-diff-vm,1,0.017478904
async-diff-vm,2,0.018203322
async-diff-vm,3,0.018738437
async-diff-vm,4,0.019905887
async-diff-vm,5,0.017976684
async-diff-vm,6,0.017397761
async-diff-vm,7,0.020269447
async-diff-vm,8,0.017780389
async-diff-vm,9,0.020667650
async-diff-vm,10,0.021485169
async-diff-vm,11,0.020939296
async-diff-vm,12,0.016997166
async-diff-vm,13,0.017044158
async-diff-vm,14,0.017319579
async-diff-vm,15,0.020772537
async-diff-vm,16,0.019198235
async-diff-vm,17,0.018431974
async-diff-vm,18,0.017291177
async-diff-vm,19,0.017574971
async-diff-vm,20,0.018475860
async-diff-vm,21,0.021533784
async-diff-vm,22,0.017854431
async-diff-vm,23,0.021156963
async-diff-vm,24,0.017772509
async-diff-vm,25,0.019143579
async-diff-vm,26,0.017887063
async-diff-vm,27,0.020909540
async-diff-vm,28,0.018865195
async-diff-vm,29,0.020026622
async-diff-vm,30,0.020653520
async-diff-vm,31,0.020253737
async-diff-vm,32,0.019300512
async-diff-vm,33,0.018558806
async-diff-vm,34,0.016968839
async-diff-vm,35,0.019972545
async-diff-vm,36,0.017230138
async-diff-vm,37,0.020121619
async-diff-vm,38,0.017808171
async-diff-vm,39,0.021405896
async-diff-vm,40,0.017855499
async-diff-vm,41,0.017699007
async-diff-vm,42,0.017262589
async-diff-vm,43,0.019540083
async-diff-vm,44,0.016928752
async-diff-vm,45,0.018842778
async-diff-vm,46,0.018298575
async-diff-vm,47,0.018550224
async-diff-vm,48,0.020152997
async-diff-vm,49,0.017633401
async-single-vm,0,0.020259668
async-single-vm,1,0.019398485
async-single-vm,2,0.019045907
async-single-vm,3,0.018311401
async-single-vm,4,0.020125444
async-single-vm,5,0.019397012
async-single-vm,6,0.019835588
async-single-vm,7,0.018007647
async-single-vm,8,0.018491533
async-single-vm,9,0.019931181
async-single-vm,10,0.020288293
async-single-vm,11,0.020557340
async-single-vm,12,0.018224057
async-single-vm,13,0.018834407
async-single-vm,14,0.018251481
async-single-vm,15,0.017903802
async-single-vm,16,0.020101865
async-single-vm,17,0.019409074
async-single-vm,18,0.018011847
async-single-vm,19,0.020394845
async-single-vm,20,0.018726643
async-single-vm,21,0.019475285
async-single-vm,22,0.020343065
async-single-vm,23,0.018323496
async-single-vm,24,0.019903269
async-single-vm,25,0.019165384
async-single-vm,26,0.020067944
async-single-vm,27,0.018040553
async-single-vm,28,0.019886435
async-single-vm,29,0.018371356
async-single-vm,30,0.019120862
async-single-vm,31,0.018663476
async-single-vm,32,0.019931531
async-single-vm,33,0.018001564
async-single-vm,34,0.020216437
async-single-vm,35,0.019449243
async-single-vm,36,0.018526074
async-single-vm,37,0.018430339
async-single-vm,38,0.019419411
async-single-vm,39,0.018344790
async-single-vm,40,0.020504279
async-single-vm,41,0.019535293
async-single-vm,42,0.019042759
async-single-vm,43,0.018721184
async-single-vm,44,0.018939916
async-single-vm,45,0.019878913
async-single-vm,46,0.019769013
async-single-vm,47,0.018246335
async-single-vm,48,0.020585639
async-single-vm,49,0.019464247
sync-diff-vm,0,0.024845916
sync-diff-vm,1,0.022779786
sync-diff-vm,2,0.025107097
sync-diff-vm,3,0.022346822
sync-diff-vm,4,0.023826258
sync-diff-vm,5,0.023405610
sync-diff-vm,6,0.023474757
sync-diff-vm,7,0.023817154
sync-diff-vm,8,0.023887939
sync-diff-vm,9,0.024376695
sync-diff-vm,10,0.024602395
sync-diff-vm,11,0.024172725
sync-diff-vm,12,0.025030259
sync-diff-vm,13,0.023844541
sync-diff-vm,14,0.023566848
sync-diff-vm,15,0.024796073
sync-diff-vm,16,0.023378082
sync-diff-vm,17,0.022966943
sync-diff-vm,18,0.024029951
sync-diff-vm,19,0.025038668
sync-diff-vm,20,0.023845577
sync-diff-vm,21,0.023820056
sync-diff-vm,22,0.024557492
sync-diff-vm,23,0.022207850
sync-diff-vm,24,0.024770395
sync-diff-vm,25,0.024488282
sync-diff-vm,26,0.024913302
sync-diff-vm,27,0.024865190
sync-diff-vm,28,0.025001498
sync-diff-vm,29,0.025065897
sync-diff-vm,30,0.024199806
sync-diff-vm,31,0.024888924
sync-diff-vm,32,0.025204922
sync-diff-vm,33,0.023434856
sync-diff-vm,34,0.023589421
sync-diff-vm,35,0.025128360
sync-diff-vm,36,0.025013897
sync-diff-vm,37,0.022990782
sync-diff-vm,38,0.022271015
sync-diff-vm,39,0.022603441
sync-diff-vm,40,0.024742236
sync-diff-vm,41,0.022298408
sync-diff-vm,42,0.025019348
sync-diff-vm,43,0.024900009
sync-diff-vm,44,0.024882922
sync-diff-vm,45,0.022246418
sync-diff-vm,46,0.024405869
sync-diff-vm,47,0.023021158
sync-diff-vm,48,0.025055484
sync-diff-vm,49,0.023686075
sync-single-vm,0,0.024732454
sync-single-vm,1,0.021561305
sync-single-vm,2,0.024760270
sync-single-vm,3,0.023656570
sync-single-vm,4,0.022199068
sync-single-vm,5,0.024847606
sync-single-vm,6,0.022787496
sync-single-vm,7,0.021090885
sync-single-vm,8,0.021214449
sync-single-vm,9,0.022648214
sync-single-vm,10,0.024433000
sync-single-vm,11,0.023857589
sync-single-vm,12,0.022147088
sync-single-vm,13,0.021642405
sync-single-vm,14,0.022914425
sync-single-vm,15,0.024399933
sync-single-vm,16,0.021727348
sync-single-vm,17,0.021354167
sync-single-vm,18,0.021808386
sync-single-vm,19,0.022524196
sync-single-vm,20,0.022011518
sync-single-vm,21,0.021426918
sync-single-vm,22,0.025150458
sync-single-vm,23,0.023952784
sync-single-vm,24,0.024463239
sync-single-vm,25,0.021294967
sync-single-vm,26,0.024150028
sync-single-vm,27,0.023290478
sync-single-vm,28,0.022402352
sync-single-vm,29,0.023011827
sync-single-vm,30,0.024596711
sync-single-vm,31,0.022393806
sync-single-vm,32,0.024632604
sync-single-vm,33,0.025089176
sync-single-vm,34,0.021825225
sync-single-vm,35,0.024678162
sync-single-vm,36,0.022151296
sync-single-vm,37,0.024868815
sync-single-vm,38,0.022368663
sync-single-vm,39,0.022521498
sync-single-vm,40,0.021608288
sync-single-vm,41,0.023172323
sync-single-vm,42,0.022423568
sync-single-vm,43,0.024771846
sync-single-vm,44,0.022537656
sync-single-vm,45,0.025050148
sync-single-vm,46,0.022331061
sync-single-vm,47,0.023570005
sync-single-vm,48,0.021811838
sync-single-vm,49,0.025019332
